DSID	FS	CROSSECTION[pb]	K-FACTOR	FILTEREFF	REL.UNCERT
388230  61  0.296128	    1.0 	    1.0         0.132687
388231  61  0.296128	    1.0 	    1.0         0.132687
388232  61  0.296128	    1.0 	    0.12054     0.132687
388233  61  0.296128	    1.0 	    0.11848     0.132687
388234  61  0.174599 	    1.0 	    0.12130     0.132074
388235  61  0.107045	    1.0 	    0.12071     0.129232
388236  61  0.067048	    1.0 	    0.11857     0.133429
388237  61  0.043142	    1.0 	    0.12219     0.137455
388238  61  0.028334	    1.0 	    0.11810     0.141710
